Sat. Sep.  5, 2020             LANDSAT 7                 Time: 15:57
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 168 / 018

L0R Reference Image: L71SG11114266080100_HDF.201742232
Acquisition Date: Sep 23, 2014

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
166   018   07-03-2001, 05-17-2016
166   019   07-06-2002, 08-21-2016
167   019   10-09-1999, 05-08-2016
168   017   05-11-2000, 05-15-2016
168   018   05-11-2000, 05-15-2016
168   019   05-11-2000, 05-15-2016
169   017   05-05-2001, 05-30-2013
169   018   09-10-2001, 05-06-2016
170   017   09-17-2001, 05-11-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1660180556_01   60.126557   57.427232   168.382       4.101    -2.058     4.543    -0.732
1660180565_01   60.494893   57.895091   184.947       3.944     2.495     3.038     3.563
1660180580_01   59.656268   57.156634   184.318       2.950    -1.759     3.357    -0.789
1660180581_01   60.531387   57.692205   129.456      -4.945     5.743    -6.412     4.007
1660180599_01   59.758901   57.494067   231.080      -5.688     2.181    -6.052     0.384
1660180615_01   59.819495   57.320030   141.665      -1.727    -1.711    -1.116    -2.142
1660180619_01   60.055875   57.528150   148.677       0.759     3.999    -0.450     4.046
1660180622_01   59.737874   57.317121   145.113      -3.145    -4.327    -1.685    -5.061
1660180624_01   60.568878   57.781654   130.309      -4.287    -0.765    -3.842    -2.004
1660180626_01   59.876291   57.338284   140.582      -3.514    -4.569    -1.966    -5.403
1660180638_01   60.090357   57.529249   243.387       4.885    -4.099     5.901    -2.442
1660180645_01   60.049120   57.756950   156.854      -1.071     3.262    -1.972     2.797
1660180651_01   59.660530   57.199256   166.721       0.472    -5.719     2.179    -5.307
1660180654_01   59.778088   57.389085   152.723      -4.149     5.515    -5.583     4.023
1660180662_01   60.078913   57.492922   220.260       2.548    -3.304     3.435    -2.383
1660180669_01   60.124789   57.469876   164.924       6.215    -0.102     5.976     1.766
1660180680_01   59.854560   57.400695   148.332       1.430    -1.770     1.912    -1.254
1660180681_01   59.855014   57.506712   178.745      -2.597    -5.042    -0.948    -5.578
1660180705_01   60.045319   57.471973   130.172      -5.930     0.675    -5.837    -1.124
1660180721_01   60.442441   58.100288   160.166      -2.320     6.465    -4.117     5.481
1660180727_01   59.654761   57.530294   199.226      -4.392    -0.580    -3.990    -1.861
1660180730_01   60.297148   58.010746   225.870      -5.132     1.393    -5.285    -0.198
1660180735_01   60.029303   57.735500   233.043      -0.152    -6.106     1.701    -5.861
1660180743_01   59.784101   57.642453   245.114      -4.950     2.385    -5.407     0.799
1660180744_01   59.680521   57.616511   242.837       2.481    -2.785     3.222    -1.905
1660180746_01   60.408460   57.847561   254.244       4.449     4.184     3.016     5.324
1660180757_01   60.357801   58.077330   312.571      -3.774     5.902    -5.334     4.508
1660180763_01   60.089630   57.689390   274.614       0.248    -1.179     0.610    -1.044
1660180766_01   59.683407   57.213782   173.135       4.969    -6.969     6.840    -5.152
1660180771_01   60.500336   57.802424   311.233       5.851    -2.811     6.436    -0.928
1660190013_01   59.387790   57.462204   239.101       0.096     0.991    -0.179     0.981
1660190016_01   59.147003   56.788881   112.452      -0.788    -4.082     0.490    -4.123
1660190063_01   59.315088   57.248399   121.452      -3.021     1.528    -3.314     0.558
1660190105_01   59.566545   57.182301   193.891       1.770    -2.249     2.380    -1.609
1660190131_01   59.402507   57.292302   119.319       5.116     6.597     2.927     7.830
1660190132_01   59.282869   56.837058   179.627       1.212     4.358    -0.131     4.523
1660190134_01   59.340467   57.338224   157.416       2.593     2.143     1.856     2.828
1660190135_01   59.119133   57.100658   186.153       6.453    -1.563     6.643     0.451
1660190174_01   59.438669   56.937944   237.676       1.284    -4.538     2.600    -3.937
1660190213_01   59.370059   57.366438   139.360       3.460     7.017     1.225     7.733
1660190214_01   59.410629   56.893443   173.231       3.865     1.503     3.252     2.595
1660190222_01   59.268731   56.980188   197.447      -1.630     6.039    -3.341     5.274
1660190231_01   59.680253   57.304308   160.497       4.898    -4.119     5.922    -2.456
1660190239_01   59.072125   57.234100   148.716      -2.736    -0.245    -2.509    -1.047
1660190337_01   59.572284   56.988546   154.577       4.048    -0.598     4.056     0.647
1660190361_01   59.296660   56.883777   175.518       6.142     6.016     4.074     7.581
1660190418_01   59.166750   56.841158   137.501       5.796     2.001     4.946     3.650
1660190420_01   59.197933   56.776465   174.637      -0.405     2.705    -1.177     2.463
1660190422_01   59.192896   56.834265   160.411       3.043     4.034     1.712     4.763
1660190446_01   59.335734   57.291803   140.193       2.056     1.045     1.671     1.619
1660190456_01   59.390415   57.472373   275.118       6.775    -3.760     7.608    -1.548
1660190515_01   59.340180   57.338735   164.128       4.855     0.651     4.458     2.082
1660190575_01   59.409793   57.430790   173.000      -4.834     4.977    -6.071     3.304
1660190582_01   59.087369   57.145690   191.789       0.376     2.304    -0.307     2.316
1660190614_01   59.478889   57.441882   149.065       3.180    -6.441     4.982    -5.182
1660190675_01   59.142202   57.206797   196.959       0.912    -3.070     1.813    -2.646
1660190721_01   59.717449   57.297259   159.428       4.056    -2.922     4.761    -1.567
1660190726_01   59.120183   56.861339   190.772       4.596    -4.140     5.640    -2.564
1660190735_01   59.180048   56.957713   203.367       5.006    -3.450     5.826    -1.783
1660190763_01   59.377490   56.970657   130.963       1.844    -3.010     2.678    -2.311
1670190024_01   59.146561   56.786797   118.548      -5.166    -1.114    -4.572    -2.605
1670190067_01   59.402120   56.746694   129.641      -5.091    -1.807    -4.298    -3.244
1670190079_01   59.344708   56.931058   202.678       2.846     5.058     1.219     5.680
1670190187_01   59.614274   55.865530   174.089      -1.943    -0.052    -1.835    -0.631
1670190231_01   59.326333   57.001289   216.518       3.942     1.319     3.383     2.444
1670190232_01   59.318970   57.173679   177.271       1.218     3.075     0.264     3.303
1670190258_01   59.427979   56.652324   141.165       0.874    -3.024     1.752    -2.618
1670190274_01   59.352462   57.035066   205.210       3.572    -0.305     3.516     0.785
1670190289_01   59.444297   57.016678   179.395       1.836     4.775     0.342     5.107
1670190303_01   59.089893   57.039310   150.093      -4.212     5.876    -5.751     4.345
1670190311_01   59.321699   57.092425   202.432       6.489     5.537     4.550     7.228
1670190318_01   59.376205   57.273752   137.954      -0.202     2.114    -0.802     1.961
1670190331_01   59.421928   56.880237   164.897      -0.079    -0.121    -0.022    -0.135
1670190334_01   59.279725   56.852174   214.329       1.210     0.478     1.029     0.823
1670190342_01   59.220172   57.042816   185.668       3.570    -0.507     3.577     0.592
1670190368_01   59.552138   55.853226   162.633       5.517    -0.142     5.306     1.516
1670190404_01   59.303938   55.869528   139.330      -0.323     1.059    -0.620     0.913
1670190412_01   59.468725   56.032463   148.701       2.579    -2.683     3.267    -1.785
1670190413_01   59.364156   55.353274   163.903      -3.183     2.742    -3.859     1.660
1670190415_01   59.344648   57.132648   172.477      -1.263     2.761    -2.009     2.260
1670190417_01   59.418691   57.116631   183.982       3.388    -2.150     3.893    -1.029
1670190421_01   59.232036   56.126922   155.648       5.769    -4.007     6.710    -2.090
1670190430_01   59.387965   57.100517   216.871       6.808     4.779     5.081     6.601
1670190433_01   59.419028   56.115275   132.823      -1.782    -1.268    -1.313    -1.742
1670190435_01   59.602026   55.820783   173.300      -3.373     3.347    -4.217     2.181
1670190436_01   59.582978   55.891611   146.867      -2.808     1.719    -3.189     0.799
1670190438_01   59.401569   57.279192   155.312      -3.270     1.610    -3.576     0.562
1670190444_01   59.257126   56.964924   217.904      -0.121     1.162    -0.443     1.077
1670190445_01   59.336196   56.583561   123.517      -1.937     0.290    -1.920    -0.300
1670190450_01   59.185393   56.851109   179.155       0.564    -1.821     1.102    -1.562
